Link,Name,Rating,Number of Rating,Description,Address,Offer Price,Original Price,Offer Percent,Latitude,Longitude,Guest Policy,Room Types
https://www.oyorooms.com/104260/,SPOT ON 74228 Galaxy Comforts,3.5 ,612 ,"The SPOT ON 74228 Galaxy Comforts is located in Mysore, India. The hotel is close to triple-listed attractions including 3 km from Mysore Palace and 3 km from Sri Chamarajendra Zoological Gardens.","Near St Philomena Churcu, Ashoka Road, Mysore",857,1632,47,12.3211059,76.6577404,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Galaxy Comforts as per quality standards of OYO",['SPOT ON NON-AC']
https://www.oyorooms.com/14225/,OYO 8646 Mahendra Hotel,3.3 ,35 ,LocationThe Mahendra Hotel is located on the BN Rao Road in Mysore. The hotel is quite popular due to the comfortable rooms and hospitable staff.,"Opposite Mysuru Complex, Nilgiri Road, Mysore",1904,3627,47,12.309056,76.659564,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Mahendra Hotel as per quality standards of OYO",['Deluxe (3X)']
https://www.oyorooms.com/39202/,OYO 16385 Mb International,5.0 ,1 ,"Did you know that we’ve got 2.5 Crore bookings since March 2020? And this is all thanks to the sanitisation & safety measures followed at our properties, from disinfecting surfaces with high-quality cleaning products and maintaining social distance to using protective gear and more.","Near Five Light Circle, Lashkar Mohalla, Mysore",1290,2457,47,12.3182653794966,76.6595831885934,"Check-in 12:00 PMCheck-out 11:00 AMCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).Only Indian Nationals allowedAs a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Mb International as per quality standards of OYO",['Classic (2X)']
https://www.oyorooms.com/40554/,CAPITAL O 17246 Anurag Inn,4.1 ,926 ,"Did you know that we’ve got 2.5 Crore bookings since March 2020? And this is all thanks to the sanitisation & safety measures followed at our properties, from disinfecting surfaces with high-quality cleaning products and maintaining social distance to using protective gear and more.","2247, Sri Geetha Mandira Rd, Lashkar Mohalla, Mandi Mohalla, Mysuru, Mysore",999,3004,66,12.316456305754384,76.65817800000002,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).Only Indian Nationals allowedAs a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Anurag Inn  as per quality standards of OYO","['Classic (2X)', 'Suite (4X)']"
https://www.oyorooms.com/155856/,Collection O 83525 Karanji Residency Mysore,4.3 ,106 ,,"No 6, Shree Mahadeshwara Nursing Home, K C Layout, Mysuru, Karnataka, India, Mysore, Mysore",1299,4544,71,12.3069570389107,76.6847371123731,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Karanji Residency Mysore as per quality standards of OYO",['Classic (2X)']
https://www.oyorooms.com/115407/,OYO Flagship 83216 Milano Hotel Mysore,4.1 ,7 ,,"01, Ring Road, Alanahalli, Satagalli, Mysuru taluk, Mysuru district, Karnataka, 570028, India, Mysore",1387,2642,47,12.3056237783399,76.7033295147121,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Milano Hotel Mysore as per quality standards of OYO",['Classic (2X)']
https://www.oyorooms.com/167794/,Capital O 85045 Hotel Bricknest,4.4 ,62 ,,"09, Narasimharaja Mohalla, Mysuru, Mysuru taluk, Mysuru district, Karnataka, India, Mysore",1199,4858,75,12.3303878300751,76.6607893444598,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Hotel Bricknest as per quality standards of OYO","['Deluxe with Balcony', 'Deluxe (3X)']"
https://www.oyorooms.com/39189/,OYO 16377 Eagle Fantasy,4.0 ,389 ,"Did you know that we’ve got 2.5 Crore bookings since March 2020? And this is all thanks to the sanitisation & safety measures followed at our properties, from disinfecting surfaces with high-quality cleaning products and maintaining social distance to using protective gear and more.","Bogadi Ring Road, Mysore",1254,2388,47,12.306616,76.601406,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Eagle Fantasy	 as per quality standards of OYO","['Saver Double (X)', 'Classic (2X)']"
https://www.oyorooms.com/172738/,OYO 86739 Hotel New Vinay Residency,,,,"1, GRS Fantasy Park, Ring Road, Metagalli Industrial Area, Mysore",1519,2892,47,12.3528251242545,76.6337976045907,"Check-in 12:00 PMCheck-out 11:00 AMCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Hotel New Vinay Residency as per quality standards of OYO",['Classic (2X)']
https://www.oyorooms.com/113159/,Collection O Sri Sai Galaxy,3.5 ,46 ,"Collection O Sri Sai Galaxy is a hotel in Mysore that offers affordable and comfortable stays. It is located 6 km from Mysore Palace and 5 km from Sri Chamarajendra Zoological Gardens, two of the most popular attractions in the city.","4, Alanahalli, Mysuru, Mysore",1514,2884,47,12.3095074179009,76.7020779289305,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Sri Sai Galaxy as per quality standards of OYO",['Classic with Mountain View']
