Item URL,Name,Price,Brand,Sizes,SKU,Categories,Description,All images URLs
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-high-marina/,Air Jordan 1 High Marina,19999.00,Jordans,"5, 6, 7, 7-5, 8-5, 9",N/A,"Jordans, Sneakers","BRAND NEW
IN-STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/02/air-jordan-1-dark-marina-blue-555088-404-release-date.jpeg
https://www.copunderdog.com/shop/sneakers/jordans/air-joradan-1-mid-racer-blue/,Air Joradan 1 Mid Racer Blue,20999.00,Jordans,"8, 9, 11",N/A,"Jordans, Sneakers",BRAND NEW,https://www.copunderdog.com/wp-content/uploads/2021/06/royal-blue.jpg
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-foamrunner-vermillion/,Adidas Yeezy Foamrunner Vermillion,20999.00,Yeezy,8,N/A,"Sneakers, Yeezy",N/A,"https://www.copunderdog.com/wp-content/uploads/2021/11/cah-sticker.jpg, https://www.copunderdog.com/wp-content/uploads/2022/02/17552689_36584948_1000.jpg"
https://www.copunderdog.com/shop/sneakers/nike/air-force-1-supreme/,Air Force 1 Supreme,27999.00,Nike,8,N/A,"Nike, Sneakers","BARND NEW
IN-STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2020/11/air-force-1-low-supreme-black.jpg.png
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-green-glow-slide/,Adidas Yeezy Green Glow Slide,18999.00,Yeezy,"8, 9, 10",N/A,"Adidas, Yeezy","Constructed from bright Glow Green EVA foam, The Yeezy Slide Glow Green provides lightweight durability with a bright colour scheme to accent the shape. Coupled with grooves on the underside for traction and grip makes for the perfect set of slides for both enthusiasts and newbies alike.",https://www.copunderdog.com/wp-content/uploads/2022/02/GREEN-GLOW.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-aluminum/,Air Jordan 1 Low Aluminum,19999.00,Jordans,"4, 5, 6",N/A,"Jordans, Sneakers","BRAND NEW
IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/02/42.png
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-diamond-white-black/,Air Jordan 1 Low Diamond White/Black,20999.00,Jordans,"7, 8, 9, 10, 11",N/A,"Jordans, Sneakers",N/A,https://www.copunderdog.com/wp-content/uploads/2022/02/air-jordan-1-low-se-black-and-white-dh6931-001-release-date.jpg
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-boost-350-v2-dazzling-blue/,Adidas Yeezy Boost 350 V2 Dazzling Blue,35999.00,Yeezy,"5, 5-5, 6, 6-5, 7, 7-5, 8, 8-5, 9, 9-5, 10, 10-5, 11, 11-5, 12, 12-5",N/A,"Sneakers, Yeezy",PRE – ORDER,https://www.copunderdog.com/wp-content/uploads/2022/02/dazzling.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-se-barcelona-cyber-teal/,Air Jordan 1 Low SE Barcelona / Cyber Teal,14999.00,Jordans,"7, 8, 9, 10, 11",N/A,"Jordans, Sneakers","BRAND NEW
IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/02/16.png
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-high-brotherhood-university-gold-light-bordeaux/,Air Jordan 1 High Brotherhood – University Gold/Light Bordeaux,20999.00,Jordans,"7, 8, 9, 10, 11",N/A,"Jordans, Sneakers",N/A,https://www.copunderdog.com/wp-content/uploads/2022/02/air-jordan-1-university-gold-and-light-bordeaux-555088-706-release-date.jpeg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-high-mocha/,Air Jordan 1 High Mocha,54999.00,Jordans,"8-5, 9-5, 11",N/A,"Jordans, Sneakers","BRAND NEW
IN-STORE READY TO SHIP","https://www.copunderdog.com/wp-content/uploads/2022/02/25.png, https://www.copunderdog.com/wp-content/uploads/2020/11/mocha-1.jpg, https://www.copunderdog.com/wp-content/uploads/2020/11/mocha.jpg"
