Item URL,Name,Price,Brand,Sizes,SKU,Categories,Description,All images URLs
https://superkicks.in/product/zx-8000-strawberry-latte/,ZX 8000 ‘ STRAWBERRY LATTE ‘,11999,adidas originals,"4, 5, 6, 8, 9, 10, 11",GY4648,"Footwear, New Arrivals, Sneakers","Dressed in a Wonder Mauve, Halo Ivory, and Ambient Blush color scheme. This adidas ZX 8000 comes constructed in a mix of textile, mesh, and suede materials. Pink covers majority of its upper detailed with hits of Green on the tongue tag and Torsion bar. A semi-translucent outsole housed in a special strawberry packaging completes the design.","https://superkicks.in/wp-content/uploads/2022/02/4-47.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/3-48.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/2-49.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/pink.jpg?x44010"
https://superkicks.in/product/wmns-blazer-low-77/,WMN’S BLAZER LOW ’77,7195,Nike,"4, 5, 6",DC4769-102,"Footwear, New Arrivals, Sneakers","Praised by the streets for its classic simplicity and comfort, the Nike Blazer Low ’77 returns with its low-profile, classic hoops style. Featuring crisp leather, a retro Swoosh design and super-soft, low-cut collar, it’s a must-have wardrobe staple.","https://superkicks.in/wp-content/uploads/2022/02/2-1-13.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/1-3-13.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/4-61.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/3-62.jpg?x44010"
https://superkicks.in/product/air-max-97-se-sport-turquoise/,AIR MAX 97 SE ‘ SPORT TURQUOISE ‘,16995,Nike,"7, 7-5, 8-5, 9-5, 10-5, 12",DN1893-001,"Footwear, New Arrivals, Sneakers","Max Air changed the game in ’87. Now, we honor its emerald anniversary (35 years!) with the Nike Air Max 97 SE. Emerald graphics and colors highlight this big landmark, while rocking the classic curvy design lines and cushioning of the original.
Originally designed for performance running, the full-length Max Air unit adds soft, lasting comfort.
Foam midsole feels springy.
Rubber outsole adds traction and durability.
Hidden lacing system was a first of its kind and delivers a streamlined look.","https://superkicks.in/wp-content/uploads/2022/03/4-2.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/03/2-1.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/03/1-2.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/03/3-2.jpg?x44010"
https://superkicks.in/product/zoom-freak-3-black-university-red/,ZOOM FREAK 3 ‘ BLACK / UNIVERSITY RED ‘,10895,Nike,"7, 8, 9, 10, 11",DA0694-003,"Footwear, New Arrivals, Sneakers","Giannis is an athlete of freakish power and incredible range. His ability to play any position make him difficult to guard and nearly impossible to stop. The Zoom Freak 3 helps Giannis create space with his massive strides and misdirecting Euro-step. The molded midfoot strap and external overlay provide side-to-side stability when he’s powering to the rim, while the multidirectional traction helps him stay in control.","https://superkicks.in/wp-content/uploads/2022/02/4-83.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/2-1-36.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/1-4-12.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/3-85.jpg?x44010"
https://superkicks.in/product/wmns-jordan-nola-slide/,WMN’S JORDAN NOLA SLIDE,2995,Nike,8-5,CZ8027-811,"Footwear, New Arrivals, Slides and Sandals","Go beyond the flip-flop with the Jordan NOLA Slide, an instant favorite in warm weather. Made with a square toe molded foam footbed, it’s light and airy with an easy-on strap.
Distinctive lines
Square toe shape offers versatility. The molded foam has a ridge that makes it a barrier for the fingers.
Slip-Resistant Comfort
The fixed strap creates a comfortable fit with a combination of patent synthetic and matte leathers.
Soft and Durable
The foam is soft and flexible for comfort, yet durable for near-everlasting use. It’s molded with AJ1-inspired traction.
More benefits

Deep heel cup is molded for a comfortable, stable fit.
•Raised toe bar provides grip as you walk.
•Debossed “Jordan” on the heel.","https://superkicks.in/wp-content/uploads/2022/02/4-59.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/1-3-11.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/2-1-11.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/3-60.jpg?x44010"
https://superkicks.in/product/air-max-97-se-sprung/,AIR MAX 97 SE ‘ SPRUNG ‘,16995,Nike,"5-5, 6, 7, 8, 9, 10, 11, 12, 13",DH4759-200,"Classics, Footwear, Sneakers","Blooming with springtime details, this edition of the AM97 is all about new beginnings—including some materials that are getting a second life through recycling. Made from at least 20% recycled materials. Classic canvas underlays keep it airy, deco stitching energizes the look and embroidered graphics keep your style fresh as a spring daisy.","https://superkicks.in/wp-content/uploads/2021/12/1-3.jpg?x44010, https://superkicks.in/wp-content/uploads/2021/12/3-3.jpg?x44010, https://superkicks.in/wp-content/uploads/2021/12/4-3.jpg?x44010, https://superkicks.in/wp-content/uploads/2021/12/2-3.jpg?x44010, https://superkicks.in/wp-content/uploads/2021/12/DH4759-200-5.jpg?x44010, https://superkicks.in/wp-content/uploads/2021/12/DH4759-200-6.jpg?x44010"
https://superkicks.in/product/air-max-97-sprung/,AIR MAX 97 SE ‘ SPRUNG ‘,16995,Nike,"5-5, 6, 7, 8, 9, 10, 11, 12, 13",DH4759-001,"Classics, Footwear, Sneakers","Blooming with springtime details, this edition of the AM97 is all about new beginnings—including some materials that are getting a second life through recycling. Made from at least 20% recycled materials. Classic canvas underlays keep it airy, deco stitching energizes the look and embroidered graphics keep your style fresh as a spring daisy.","https://superkicks.in/wp-content/uploads/2021/12/DH4759-001-6.jpg?x44010, https://superkicks.in/wp-content/uploads/2021/12/3-2.jpg?x44010, https://superkicks.in/wp-content/uploads/2021/12/4-2.jpg?x44010, https://superkicks.in/wp-content/uploads/2021/12/1-2.jpg?x44010, https://superkicks.in/wp-content/uploads/2021/12/2-2.jpg?x44010, https://superkicks.in/wp-content/uploads/2021/12/DH4759-001-5.jpg?x44010, https://superkicks.in/wp-content/uploads/2021/12/19-1.jpg?x44010"
https://superkicks.in/product/pouchylette-slides-white/,POUCHYLETTE SLIDES ‘ WHITE ‘,5999,adidas originals,"4, 5, 6, 7",GZ4329,"Footwear, New Arrivals, Slides and Sandals","Some days it’s a lacy skirt. Other days it’s sweat pants. Your style is impossible to define. These adidas Adilette Slides have a playful design that’s easy to dress up or down, depending on your mood. A zip pouch on the bandage upper makes a bold statement no matter what you pair them with. Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.","https://superkicks.in/wp-content/uploads/2022/02/5.png?x44010, https://superkicks.in/wp-content/uploads/2022/02/4-22.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/3-22.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/2-23.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/1-1.png?x44010"
https://superkicks.in/product/wmns-fontanka-waffle-barely-green/,WMN’S FONTANKA WAFFLE ‘ BARELY GREEN ‘,8295,Nike,"4, 5, 6, 7",DC3579-300,"Footwear, New Arrivals, Sneakers","Ride a new wave of style with the Fontanka Waffle. Classic suede detail and waffle soles create a perfect blend of fashion and sport. With the image of an iconic day break, it is finished in a sophisticated truck design. Embroidered swoosh, decorative stitching, and soft cuffs combine elaborate design with great comfort. The heel has an exceptionally soft React foam in the shape of a cassette, giving a bold impression to the redesigned style.","https://superkicks.in/wp-content/uploads/2022/03/3-5.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/03/1-5.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/03/4-5.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/03/2-4.jpg?x44010"
https://superkicks.in/product/nmd_v3-wonder-white/,NMD_V3 ‘ WONDER WHITE ‘,15999,adidas originals,"4, 5, 6",GX5785,"Footwear, New Arrivals, Sneakers","Sometimes it feels like you are constantly moving. These adidas NMD_V3 Shoes make things a little easier for you. The highly flexible knit upper wraps the foot for comfort and supports your stride. With the Boost cushioning, the model returns the energy you expend in every step you take and makes you feel powerful. The upper of the shoe contains at least 50% recycled material. This product represents just one of our solutions to end plastic waste.","https://superkicks.in/wp-content/uploads/2022/02/3-31-1.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/re-edit-1.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/re-edit-2.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/2-32-1.jpg?x44010"
https://superkicks.in/product/club-c-double-geo/,CLUB C DOUBLE GEO,6999,Reebok,"4, 5, 6, 7",GX8765,"Footwear, New Arrivals, Sneakers",You’re not so shy. So make a statement without saying a word. These Club C Double Geo shoes take an old-school design and make them great. What you do next is totally your call.,"https://superkicks.in/wp-content/uploads/2022/03/3-34.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/03/4-35.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/03/2-35.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/03/1-46.jpg?x44010"
https://superkicks.in/product/wmns-air-max-dawn/,WMN’S AIR MAX DAWN,9295,Nike,"4, 5, 6, 7",DC4068-600,"Footwear, New Arrivals, Sneakers","Rooted to track DNA, the Air Max Dawn is made with at least 20% recycled material by weight. Synthetic suede and textile materials blend vintage running vibes with fresh details. Nike Air cushioning delivers a feel-good forecast for the day.
Design lines echo the heritage look you love while the last has a sporty top-down appearance.
Low-profile Air-sole unit with retro pill-shaped window pairs with a plush foam midsole for cushioning.
Outsole with seesaw pattern adds traction and durability","https://superkicks.in/wp-content/uploads/2022/02/2-1-4.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/1-3-3.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/3-53.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/4-52.jpg?x44010"
https://superkicks.in/product/keith-haring-club-c-legacy/,KEITH HARING CLUB C LEGACY,7999,Reebok,"7, 8, 9",GZ1459,"Footwear, New Arrivals, Sneakers","Art for all. That’s ’80s street art icon Keith Haring’s philosophy, and these Reebok archive-inspired kicks showcase it to full effect with an eye-catching three-eyed smiling face graphic. Translucent pieces and contrast details make a statement without saying a word.","https://superkicks.in/wp-content/uploads/2022/02/1-38.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/2-1-28.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/4-75.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/3-77.jpg?x44010"
https://superkicks.in/product/wmns-dunk-low-se-patchwork/,WMN’S DUNK LOW SE ‘ PATCHWORK ‘,9695,Nike,"3, 4, 5, 6, 7, 8",DN3866-100,"Footwear, Heat, New Arrivals, Sneakers","Celebrating the beloved colours, textures and prints inherent to so many Dunk styles over the decades, the ‘Patchwork’ Dunk Low represents an heirloom of the iconic sneaker. A stunning palette of colours like Washed Teal, Electro Purple and Light Curry combine with animal and safari prints to create a collage of materials true to Nike’s DNA—like a Nike sneaker quilt, if you will. As a nod to the past in its make-up and materials, the ‘Patchwork’ Dunk Low also looks to the future of style through its bold expression.","https://superkicks.in/wp-content/uploads/2022/03/2-2.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/03/1-3.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/03/4-3.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/03/3-3.jpg?x44010"
https://superkicks.in/product/classic-leather-legacy-az-2/,CLASSIC LEATHER LEGACY AZ,6999,Reebok,"4, 5, 6, 7, 8, 9, 10, 11",G55275,"Footwear, New Arrivals, Sneakers","Start with a Reebok classic. Revamp it for a better tomorrow, and look fresh doing it when you lace up these Classic Leather Legacy AZ shoes. They go great with mix tapes and vinyl records. But maybe that’s just us.","https://superkicks.in/wp-content/uploads/2022/02/2-1-27.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/1-45.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/4-74.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/3-76.jpg?x44010"
https://superkicks.in/product/superstar-82/,SUPERSTAR 82 SASHIKO,12999,adidas originals,"8, 9, 10, 11",GW3204,"Footwear, New Arrivals, Sneakers","In honor of the expressive handicrafts, this SUPERSTAR 82 is a model that reconstructs a masterpiece from the perspective of a craftsman. A mixed upper made of different materials that combines indigo and tanned leather colors, plus a geometric pattern of intricate stitching. Three coiled shoelaces hanging from the white shoelaces create a playful and stylish atmosphere.","https://superkicks.in/wp-content/uploads/2022/02/3-79.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/gx0519-1.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/2-1-30.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/4-77.jpg?x44010"
https://superkicks.in/product/forum-luxe-mid/,FORUM LUXE MID,13999,adidas originals,"8, 9, 10",GX0519,"Footwear, New Arrivals, Sneakers","Like most luxury items, the Forum just gets better with time. Taking inspiration from our B-ball roots, these adidas shoes transform that iconic ’80s silhouette into a luxurious wardrobe staple. A premium leather upper and embossed Trefoil are the perfect combination of clean, uncomplicated and modern. Are they super chic? We sure think so.","https://superkicks.in/wp-content/uploads/2022/02/3-80.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/gw3204.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/4-78.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/2-1-31.jpg?x44010"
https://superkicks.in/product/japan-s-black-white/,JAPAN S ‘ BLACK / WHITE ‘,5999,Asics,"7, 8, 9, 10, 11",1201A173.107,"Footwear, New Arrivals, Sneakers","The JAPAN S shoes are based on one of our throwback offerings from 1981. This reworked iteration is formed with a low-top silhouette that’s complete with a court-inspired toe box and throwback colorways.
Updated with a lightweight design that features a modified cupsole, this shoe is complemented with premium comfort and improved cushioning. Mimicking the aesthetic of a retro basketball sneaker, this heritage style is also paired with nostalgic ASICS branding, like the tiger stripes on the quarter-panels and “ASICS” lettering at the heel.
The JAPAN S shoe’s vintage basketball aesthetic is paired with iconic court-specific details that are inspired by footwear worn on the hardwood by basketball players in the 80s.","https://superkicks.in/wp-content/uploads/2022/02/1-4-18.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/3-91.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/4-89.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/2-1-42.jpg?x44010"
https://superkicks.in/product/air-max-pre-day/,AIR MAX ‘ PRE-DAY ‘,11495,Nike,"7, 8, 9, 10, 11",DC9402-800,"Footwear, New Arrivals, Sneakers","This model delivers a mix of heritage and future-thinking flair. Lightweight, yet durable construction across the upper predominantly indulges in a two-tone arrangement that allows for the canvas-like base to revel in the spotlight.","https://superkicks.in/wp-content/uploads/2022/02/2-1-2.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/4-50.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/3-51.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/1-3-1.jpg?x44010"
https://superkicks.in/product/her-court/,HER COURT,8999,adidas originals,"4, 5, 6, 7",GY3579,"Footwear, New Arrivals, Sneakers","Keyword: versatility. The minimalist design of these adidas shoes means you can pair them with anything from Saturday night to Monday morning. A chunky midsole gives you an exaggerated look. Go strong all day (or night) long in total comfort with a plush foam footbed and a soft leather upper. Made in part with recycled content generated from production waste, e.g., cutting scraps and post-consumer household waste, to avoid the larger environmental impact of producing virgin content.","https://superkicks.in/wp-content/uploads/2022/02/1-1-5.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/3-21.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/2-22.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/4-21.jpg?x44010"
https://superkicks.in/product/air-jordan-36-black-infrared/,AIR JORDAN 36 ‘ BLACK / INFRARED ‘,16595,Nike,"7, 8, 9, 10, 11",DA9053-001,"Basketball, Footwear, New Arrivals, Sneakers","The Air Jordan XXXVI isn’t just the next up in the iconic franchise; it’s an expression of the drive and energy that sparked a basketball revolution. It’s one of the lightest Air Jordan game shoes to date, featuring a minimal but durable leno-weave upper reinforced with a TPU ribbon and synthetic overlays. It also comes equipped with a full-length Zoom Air Strobel unit stitched directly to the upper, stacked with a Zoom Air unit underneath the forefoot, providing a sensation of energy return and elite responsiveness. Step on the court with the confidence that whatever you do—it’s light work. This PF version uses an extra-durable outsole that’s designed for outdoor courts.","https://superkicks.in/wp-content/uploads/2022/02/4-76.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/1-4-5.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/2-1-29.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/3-78.jpg?x44010"
https://superkicks.in/product/stan-smith-bonega/,STAN SMITH BONEGA,10999,adidas originals,"4, 5, 6, 7",GY3056,"Footwear, New Arrivals, Sneakers","Don’t be shy. Exaggerate. That’s the attitude of these recoded adidas Stan Smith shoes. Take your look to new heights (literally) with a platform midsole. Level up your trainer game with a puffy tongue. Plush foam cushions every step so you can go strong all day (or night) long. Perforated 3-Stripes and metallic-gold accents stay true to the tennis original. Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","https://superkicks.in/wp-content/uploads/2022/02/2-26.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/4-26.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/3-25.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/03/1-40.jpg?x44010"
https://superkicks.in/product/air-jordan-36-white-sport-blue/,AIR JORDAN 36 ‘ WHITE / SPORT BLUE ‘,16595,Nike,"7, 8, 10, 11",DA9053-101,"Basketball, Footwear, New Arrivals, Sneakers","The Air Jordan XXXVI isn’t just the next up in the iconic franchise; it’s an expression of the drive and energy that sparked a basketball revolution. It’s one of the lightest Air Jordan game shoes to date, featuring a minimal but durable leno-weave upper reinforced with a TPU ribbon and synthetic overlays. It also comes equipped with a full-length Zoom Air Strobel unit stitched directly to the upper, stacked with a Zoom Air unit underneath the forefoot, providing a sensation of energy return and elite responsiveness. Step on the court with the confidence that whatever you do—it’s light work. This PF version uses an extra-durable outsole that’s designed for outdoor courts.","https://superkicks.in/wp-content/uploads/2022/02/4-31-1.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/adidas.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/2-31-1.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/3-30-1.jpg?x44010"
https://superkicks.in/product/wmns-air-jordan-1-lv8d-bred/,WMN’S AIR JORDAN 1 LV8D ‘ BRED ‘,12995,Nike,"3, 4, 5, 6, 7",DQ1823-006,"Footwear, New Arrivals, Sneakers","Elevate your style, soul and height with the brand-new Air Jordan 1 LV8D. It represents OG Air Jordan 1 heritage, but with a lift—a boost even—for your most confident stride. A foam midsole and cork sockliner deliver all-day lightweight comfort and durability for crushing your big goals all over town. On the upper, premium leathers and a crafted heel tab Wings logo help create a balance between casual wear and luxurious looks that’s right for any room you step into. Find the perfect platform to express yourself in the Air Jordan 1 LV8D ‘Bred’.","https://superkicks.in/wp-content/uploads/2022/02/1-3-9.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/2-1-10.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/3-59.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/4-58.jpg?x44010"
https://superkicks.in/product/classic-leather-legacy-core-black/,CLASSIC LEATHER LEGACY ‘ CORE BLACK ‘,6599,Reebok,"7, 8, 9, 10",S24169,"Footwear, New Arrivals, Sneakers","There’s so much world to discover. Why wait? Explore the great outdoors in true Reebok style when you lace up these shoes. Hit the trails or the sidewalks with a design inspired by nature. Ready, set and go.","https://superkicks.in/wp-content/uploads/2022/02/3-92.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/1-4-19.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/2-1-43.jpg?x44010, https://superkicks.in/wp-content/uploads/2022/02/4-90.jpg?x44010"
